R,C,V_sumber,I_s,n,V_t,V0,time,V_kapasitor,V_diode,I_rangkaian,step_count,waktu_ms
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,0.000000e+000,0.000000,0.858645,4.141355e-003,0,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,1.010000e-004,0.398037,0.854767,3.747196e-003,101,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,2.010000e-004,0.754815,0.850931,3.394254e-003,201,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,3.000000e-004,1.074930,0.847138,3.077932e-003,300,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,4.000000e-004,1.368019,0.843311,2.788670e-003,400,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,5.000000e-004,1.633581,0.839489,2.526930e-003,500,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,6.000000e-004,1.874235,0.835673,2.290092e-003,600,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,7.000000e-004,2.092350,0.831864,2.075786e-003,700,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,8.000000e-004,2.290072,0.828061,1.881868e-003,800,1.000
1000.0,1.00e-006,5.00,1.00e-012,1.50,0.02585,0.000,9.000000e-004,2.469339,0.824265,1.706396e-003,900,1.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,0.000000e+000,0.500000,0.621036,9.904374e-004,0,0.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.005000e-004,0.544785,0.620401,9.703691e-004,201,0.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,2.000000e-004,0.588231,0.619773,9.509068e-004,400,0.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,3.000000e-004,0.631017,0.619141,9.317455e-004,600,0.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,4.000000e-004,0.672941,0.618510,9.129761e-004,800,1.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,5.000000e-004,0.714020,0.617879,8.945903e-004,1000,1.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,6.005000e-004,0.754472,0.617245,8.764923e-004,1201,1.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,7.005000e-004,0.793910,0.616614,8.588525e-004,1401,1.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,8.005000e-004,0.832555,0.615984,8.415733e-004,1601,2.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,9.005000e-004,0.870422,0.615354,8.246474e-004,1801,2.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.000500e-003,0.907528,0.614724,8.080674e-004,2001,2.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.100500e-003,0.943888,0.614094,7.918265e-004,2201,2.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.200500e-003,0.979517,0.613464,7.759175e-004,2401,3.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.300000e-003,1.014258,0.612838,7.604109e-004,2600,3.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.400000e-003,1.048474,0.612209,7.451441e-004,2800,3.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.500000e-003,1.082003,0.611580,7.301895e-004,3000,4.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.600000e-003,1.114860,0.610951,7.155405e-004,3200,4.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.700000e-003,1.147057,0.610323,7.011910e-004,3400,4.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.800000e-003,1.178609,0.609695,6.871348e-004,3600,4.000
2200.0,2.20e-006,3.30,2.00e-012,1.20,0.02585,0.500,1.900000e-003,1.209528,0.609067,6.733660e-004,3800,5.000
